phrase;opinion_value;standard_deviation;standard_error;phrase_type;manual_correction
ebenfalls sehr erfreulich;1.000;0.000;0.000;a;
ebenfalls sehr flott;0.938;0.165;0.074;a;
ebenfalls sehr gelungen;0.958;0.138;0.056;a;
ebenfalls sehr gut gelungen;0.922;0.182;0.022;a;
ebenfalls sehr gut verarbeitet;0.929;0.175;0.047;a;
ebenfalls sehr hochwertig;1.000;0.000;0.000;a;
ebenfalls sehr hörenswert;0.973;0.113;0.043;a;
ebenfalls sehr hübsch;1.000;0.000;0.000;a;
ebenfalls sehr interessant;0.942;0.161;0.029;a;
ebenfalls sehr kurz;0.400;0.000;0.000;a;m
ebenfalls sehr lesenswert;0.924;0.180;0.060;a;
ebenfalls sehr ruhig;0.562;0.165;0.074;a;
ebenfalls sehr sehr gut;1.000;0.000;0.000;a;
ebenfalls sehr sinnvoll;0.938;0.165;0.074;a;
ebenfalls sehr stabil;0.993;0.059;0.020;a;
ebenfalls sehr übersichtlich;0.400;0.000;0.000;a;m
ebenfalls sehr zufrieden;0.992;0.062;0.007;a;
ebenfalls sehr zufriedenstellend;0.929;0.175;0.047;a;
ebenfalls Spaß;0.929;0.175;0.047;n;
ebenfalls spitze;0.958;0.138;0.019;a;
ebenfalls spurlos;0.000;0.000;0.000;a;m
ebenfalls super;0.964;0.130;0.008;a;
ebenfalls tief;0.000;0.000;0.000;a;m
ebenfalls top;0.958;0.138;0.021;a;
ebenfalls total begeistert;1.000;0.000;0.000;a;
ebenfalls überragend;1.000;0.000;0.000;a;
ebenfalls überraschend gut;1.000;0.000;0.000;a;
ebenfalls unkompliziert;0.938;0.165;0.074;a;
ebenfalls unschlagbar;1.000;0.000;0.000;a;
ebenfalls viel Spaß;0.929;0.175;0.047;n;
ebenfalls voll zufrieden;1.000;0.000;0.000;a;
ebenfalls völlig ausreichend;0.938;0.165;0.074;a;
ebenfalls völlig problemlos;0.938;0.165;0.052;a;
ebenfalls Weltklasse;1.000;0.000;0.000;n;
ebenso anrührend;1.000;0.000;0.000;a;
ebenso anschaulich;0.958;0.138;0.056;a;
ebenso atemberaubend;1.000;0.000;0.000;a;
ebenso aufregend;0.958;0.138;0.056;a;
ebenso außergewöhnlich;0.906;0.195;0.069;a;
ebenso automatisch;0.400;0.000;0.000;a;m
ebenso beeindruckend;0.941;0.161;0.027;a;
ebenso begeistert;0.983;0.090;0.008;a;
ebenso berührend;0.973;0.113;0.043;a;
ebenso brillant;0.915;0.187;0.045;a;
ebenso eindrucksvoll;0.918;0.185;0.051;a;
ebenso einsam;-0.400;0.000;0.000;a;m
ebenso einwandfrei;0.931;0.173;0.040;a;
ebenso elegant;0.938;0.165;0.074;a;
ebenso empfehlenswert;1.000;0.000;0.000;a;
ebenso ergreifend;1.000;0.000;0.000;a;
ebenso erschreckend;-0.400;0.000;0.000;a;m
ebenso erstklassig;1.000;0.000;0.000;a;
ebenso faszinierend;0.910;0.192;0.030;a;
ebenso fasziniert;1.000;0.000;0.000;a;
ebenso fiktiv;0.000;0.000;0.000;a;m
ebenso fremd;-0.400;0.000;0.000;a;m
ebenso geeignet;0.951;0.149;0.028;a;
ebenso gefährlich;-0.800;0.000;0.000;a;m
ebenso gelungen;0.973;0.113;0.030;a;
ebenso genial;0.932;0.171;0.017;a;
ebenso geschickt;0.594;0.195;0.069;a;
ebenso grandios;0.973;0.113;0.025;a;
ebenso großartig;0.968;0.123;0.021;a;
ebenso gut geeignet;0.993;0.059;0.020;a;
ebenso gut Qualität;1.000;0.000;0.000;n;
ebenso hervorragend;0.931;0.179;0.033;a;
ebenso hilfreich;0.945;0.156;0.039;a;
ebenso hübsch;1.000;0.000;0.000;a;
ebenso informativ;0.973;0.113;0.030;a;
ebenso kein Problem;0.924;0.180;0.060;n;
ebenso klasse;0.986;0.082;0.013;a;
ebenso lebendig;1.000;0.000;0.000;a;
ebenso legendär;0.906;0.195;0.069;a;
ebenso leicht verständlich;0.938;0.165;0.052;a;
ebenso liebenswert;0.906;0.195;0.069;a;
ebenso liebevoll;0.938;0.165;0.052;a;
ebenso mild;0.400;0.000;0.000;a;m
ebenso platt;-0.938;0.165;0.074;a;
ebenso poetisch;1.000;0.000;0.000;a;
ebenso präzis;0.958;0.138;0.056;a;
ebenso prima;0.938;0.165;0.052;a;
ebenso reibungslos;0.906;0.195;0.069;a;
ebenso reich;0.400;0.000;0.000;a;m
ebenso reizvoll;1.000;0.000;0.000;a;
ebenso schnell startklar;1.000;0.000;0.000;a;
ebenso sehenswert;0.966;0.125;0.035;a;
ebenso sehr schön;1.000;0.000;0.000;a;
ebenso sensibel;0.938;0.165;0.074;a;
ebenso Spaß;0.906;0.195;0.069;n;
ebenso super;0.984;0.087;0.022;a;
ebenso toll;0.931;0.172;0.022;a;
ebenso vertraut;1.000;0.000;0.000;a;
ebenso verwendbar;0.938;0.165;0.074;a;
ebenso wunderbar;0.938;0.165;0.033;a;
ebenso wunderschön;0.906;0.195;0.044;a;
ebenso wundervoll;0.906;0.195;0.049;a;
ebenso zeitlos;0.949;0.152;0.046;a;
ebenso zuverlässig;0.945;0.156;0.039;a;
echt;0.062;0.563;0.015;a;
echt abwechslungsreich;1.000;0.000;0.000;a;
echt Alleskönner;0.989;0.073;0.018;n;
echt angemessen;0.906;0.195;0.069;a;
echt angenehm überrascht;1.000;0.000;0.000;a;
echt aufregend;1.000;0.000;0.000;a;
echt Bedenken;-0.400;0.000;0.000;n;m
echt beeindruckt;0.938;0.165;0.017;a;
echt begeistert;0.971;0.118;0.029;a;
echt bemerkenswert;0.915;0.187;0.045;a;
echt Bereicherung;0.923;0.180;0.050;n;
echt berührt;1.000;0.000;0.000;a;
echt bewundernswert;1.000;0.000;0.000;a;
echt Blickfang;0.915;0.197;0.019;n;
echt bombastisch;0.973;0.113;0.043;a;
echt brauchbar;0.932;0.171;0.035;a;
echt clever;0.993;0.059;0.020;a;
echt cool;0.917;0.186;0.044;a;
echt einmalig;0.969;0.174;0.043;a;
echt empfehlenswert;0.857;0.226;0.060;a;
echt Empfehlung;0.921;0.182;0.011;n;
echt Entdeckung;0.967;0.124;0.016;n;
echt enttäuschend;-0.731;0.317;0.088;a;
echt enttäuscht;-0.731;0.373;0.103;a;
echt Enttäuschung;-0.704;0.312;0.060;n;
echt Erlebnis;0.968;0.122;0.011;n;
echt erstaunt;0.000;0.000;0.000;a;m
echt ersten;0.000;0.000;0.000;a;m
echt fantastisch;1.000;0.000;0.000;a;
echt Gefühl;0.966;0.125;0.035;n;
echt Geheimtipp;0.833;0.236;0.068;n;
echt geholfen;0.920;0.183;0.039;a;
echt geil;0.975;0.109;0.017;a;
echt gelohnt;0.994;0.054;0.004;a;
echt gelungen;0.868;0.221;0.038;a;
echt gemütlich;0.958;0.138;0.056;a;
echt genial;0.938;0.242;0.035;a;
echt Genuss;0.919;0.184;0.018;n;
echt gepackt;0.000;0.000;0.000;a;m
echt gequält;-0.562;0.165;0.074;a;
echt gerettet;1.000;0.000;0.000;a;
echt Glanzleistung;0.958;0.138;0.056;n;
echt Glücksfall;0.906;0.195;0.040;n;
echt Glücksgriff;0.939;0.163;0.020;n;
echt grandios;0.962;0.132;0.026;a;
echt gut;0.826;0.288;0.018;a;
echt gut durchdacht;0.924;0.180;0.060;a;
echt gut erklärt;1.000;0.000;0.000;a;
echt Hammer;0.882;0.273;0.066;n;
echt Highlight;0.962;0.133;0.037;n;
echt Hilfe;0.931;0.172;0.032;n;
echt ideal;0.949;0.152;0.046;a;
echt Juwel;0.963;0.131;0.020;n;
echt Kaufempfehlung;0.984;0.087;0.006;n;
echt Kauftipp;0.973;0.113;0.017;n;
echt kein Problem;0.906;0.195;0.056;n;
echt kinderleicht;0.924;0.180;0.042;a;
echt klar;0.938;0.165;0.074;a;
echt klasse;0.950;0.157;0.010;a;
echt Klassiker;0.898;0.202;0.029;n;
echt Knaller;0.969;0.121;0.030;n;
echt Kunstwerk;0.984;0.087;0.022;n;
echt Lebenshilfe;1.000;0.000;0.000;n;
echt lecker;0.800;0.245;0.077;a;
echt leicht;0.400;0.000;0.000;a;m
echt Lesegenuss;0.958;0.138;0.025;n;
echt lesenswert;0.909;0.193;0.024;a;
echt Lesevergnügen;0.903;0.198;0.020;n;
echt lohnenswert;0.906;0.195;0.049;a;
echt lustig;0.804;0.285;0.059;a;
echt Meisterleistung;0.979;0.100;0.026;n;
echt Meisterwerk;1.000;0.000;0.000;n;
echt Mogelpackung;-0.938;0.165;0.074;n;
echt motivierend;0.984;0.087;0.031;a;
echt nicht bereut;1.000;0.000;0.000;a;
echt nicht langweilig;0.984;0.087;0.031;a;
echt nicht wahr;-0.938;0.165;0.074;a;
echt noch besser;0.918;0.185;0.051;a;
echt Ohrenschmaus;1.000;0.000;0.000;n;
echt perfekt;0.945;0.157;0.019;a;
echt Perle;0.958;0.138;0.017;n;
echt Pflichtkauf;1.000;0.000;0.000;n;
echt platt;-0.400;0.000;0.000;a;m
echt positiv überrascht;0.922;0.181;0.018;a;
echt preisgünstig;1.000;0.000;0.000;a;
echt professionell;0.993;0.059;0.020;a;
echt Qualitätsprodukt;1.000;0.000;0.000;n;
echt Quantensprung;0.952;0.147;0.036;n;
echt Raumwunder;1.000;0.000;0.000;n;
echt richtig gut;0.952;0.147;0.025;a;
echt richtig Spaß;0.958;0.138;0.056;n;
echt schade;-0.500;0.598;0.160;a;
echt scharf;0.950;0.150;0.024;a;
echt schlecht;-0.912;0.191;0.046;a;
echt Schmuckstück;0.940;0.163;0.021;n;
echt Schnäppchen;0.938;0.165;0.034;n;
echt schön;0.864;0.223;0.067;a;
echt sehr empfehlenswert;1.000;0.000;0.000;a;
echt sehr gut gelungen;0.924;0.180;0.060;a;
echt sehr leicht;0.400;0.000;0.000;a;m
echt sehr nah;0.400;0.000;0.000;a;m
echt sehr positiv überrascht;0.958;0.138;0.056;a;
echt sehr viel Spaß;1.000;0.000;0.000;n;
echt sehr zufrieden;0.945;0.156;0.023;a;
echt selbe schuld;0.000;0.000;0.000;a;m
echt sensationell;0.938;0.165;0.074;a;
echt skeptisch;-0.400;0.000;0.000;a;m
echt so gut;0.973;0.113;0.043;a;
echt spannend;0.860;0.265;0.053;a;
echt Spaß;0.812;0.348;0.071;n;
echt spitze;0.955;0.189;0.033;a;
echt stark;0.861;0.224;0.053;a;
echt stylisch;0.973;0.113;0.025;a;
echt süchtig;0.000;0.000;0.000;a;m
echt Suchtpotential;1.000;0.000;0.000;n;
echt super;0.932;0.202;0.013;a;
echt super einfach;0.949;0.152;0.046;a;
echt super geil;0.906;0.195;0.056;a;
echt super gelungen;0.954;0.145;0.030;a;
echt super leicht;0.938;0.165;0.074;a;
echt super praktisch;1.000;0.000;0.000;a;
echt super spannend;0.973;0.113;0.030;a;
echt super toll;1.000;0.000;0.000;a;
echt super umgesetzt;1.000;0.000;0.000;a;
echt super verarbeitet;0.949;0.152;0.046;a;
echt super viel Spaß;0.973;0.113;0.043;n;
echt super zufrieden;0.929;0.175;0.027;a;
echt tief;0.000;0.000;0.000;a;m
echt Tiefgang;0.918;0.185;0.051;n;
echt toll;0.909;0.243;0.021;a;
echt top;0.931;0.172;0.032;a;
echt total begeistert;0.958;0.138;0.033;a;
echt total gut;0.969;0.174;0.062;a;
echt total super;0.966;0.125;0.035;a;
echt traumhaft;1.000;0.000;0.000;a;
echt überragend;0.906;0.195;0.069;a;
echt überrascht;0.934;0.170;0.010;a;
echt Überraschung;0.870;0.219;0.042;n;
echt überwältigt;1.000;0.000;0.000;a;
echt umwerfend;1.000;0.000;0.000;a;
echt uneingeschränkt;0.000;0.000;0.000;a;m
echt ungewohnt;-0.400;0.000;0.000;a;m
echt unschlagbar;0.953;0.146;0.017;a;
echt verdient;0.963;0.131;0.020;a;
echt viel besser;0.979;0.100;0.026;a;
echt voll zufrieden;1.000;0.000;0.000;a;
echt Volltreffer;0.995;0.049;0.006;n;
echt Wahnsinn;1.000;0.000;0.000;n;
echt wahnsinnig;0.000;0.000;0.000;a;m
echt wert;0.970;0.118;0.009;a;
echt wieder Spaß;1.000;0.000;0.000;n;
echt witzig;0.758;0.308;0.055;a;
echt Wucht;0.929;0.175;0.047;n;
echt wunderbar;0.938;0.165;0.037;a;
echt wunderschön;0.949;0.152;0.026;a;
echt würdig;0.938;0.165;0.074;a;
echt zufrieden;0.875;0.217;0.062;a;
edel;0.799;0.421;0.033;a;
edel Schmuckstück;0.958;0.138;0.056;n;
effektiv;0.746;0.460;0.061;a;
effektiv genutzt;0.562;0.165;0.074;a;
effizient;0.727;0.328;0.099;a;
egal;-0.111;0.636;0.150;a;
eh kein Problem;0.906;0.195;0.069;n;
eh schon gut;1.000;0.000;0.000;a;
eh sehr schnell;0.000;0.000;0.000;a;m
eh super;1.000;0.000;0.000;a;
ehemals deutsch;0.000;0.000;0.000;a;m
ehemals glücklich;0.000;0.000;0.000;a;m
eher aus Langeweile;0.000;0.000;0.000;n;m
eher dezent gehalten;0.000;0.000;0.000;a;m
eher dokumentarisch;0.000;0.000;0.000;a;m
eher Durchschnitt;-0.182;0.321;0.097;n;
eher durchschnittlich;-0.079;0.182;0.042;a;
eher empfindlich;-0.400;0.000;0.000;a;m
eher enttäuschend;-0.800;0.000;0.000;a;m
eher etwas ruhiger;0.000;0.000;0.000;a;m
eher geheimnisvoll;0.000;0.000;0.000;a;m
eher gelegentlich;0.000;0.000;0.000;a;m
eher gewöhnungsbedürftigen;-0.400;0.000;0.000;a;m
eher heiter;0.400;0.000;0.000;a;m
eher heller;0.000;0.000;0.000;a;m
eher herb;0.000;0.000;0.000;a;m
eher hilfreich;0.400;0.000;0.000;a;m
eher ironisch;0.000;0.000;0.000;a;m
eher kein Fan;-0.400;0.000;0.000;n;m
eher kräftig;0.000;0.000;0.000;a;m
eher langweilig;-0.476;0.314;0.040;a;
eher märchenhaft;0.438;0.165;0.074;a;
eher mäßig;-0.400;0.000;0.000;a;m
eher melancholisch;0.000;0.000;0.000;a;m
eher mittelmäßig;-0.400;0.000;0.000;a;m
eher mulmig Gefühl;-0.400;0.000;0.000;n;m
eher noch besser;1.000;0.000;0.000;a;
eher phlegmatisch;0.000;0.000;0.000;a;m
eher rockigen;0.000;0.000;0.000;a;m
eher schlecht;-0.589;0.269;0.051;a;
eher Schrott;-0.958;0.138;0.056;n;
eher schwach;-0.311;0.321;0.048;a;
eher selten genutzt;-0.400;0.000;0.000;a;m
eher sympathisch;0.400;0.000;0.000;a;m
eher unerfahren;-0.400;0.000;0.000;a;m
eher unhandlich;-0.400;0.000;0.000;a;m
eher uninteressantes;-0.400;0.000;0.000;a;m
eher unkompliziert;0.562;0.165;0.074;a;
eher unterhaltsam;0.458;0.138;0.056;a;
eher verzichtbar;-0.400;0.000;0.000;a;m
eher wacklig;-0.400;0.000;0.000;a;m
eher wenig bekannt;0.000;0.000;0.000;a;m
eher zufällig entdeckt;0.400;0.000;0.000;a;m
eher zufällig gestoßen;0.400;0.000;0.000;a;m
ehrlich;0.234;0.806;0.065;a;
ehrlich überrascht;1.000;0.000;0.000;a;
ehrlich zahlend;0.000;0.000;0.000;a;m
eierlegende Wollmilchsau;0.863;0.286;0.036;n;
eifersüchtig reagiert;-0.400;0.000;0.000;a;m
eigen;-0.028;0.613;0.029;a;
eigenartig;-0.438;0.597;0.098;a;
eigenständig;0.548;0.375;0.082;a;
eigentlich;0.000;0.000;0.000;a;m
eigentlich Angst;0.000;0.000;0.000;n;m
eigentlich besser;0.100;0.374;0.097;a;
eigentlich dick;0.000;0.000;0.000;a;m
eigentlich eher skeptisch;-0.400;0.000;0.000;a;m
eigentlich eher traurig;-0.400;0.000;0.000;a;m
eigentlich Enttäuschung;-0.400;0.000;0.000;n;m
eigentlich gar nicht besser;0.000;0.000;0.000;a;m
eigentlich gar nicht so schwer;0.000;0.000;0.000;a;m
eigentlich gut;0.161;0.455;0.059;a;
eigentlich immer skeptisch;-0.400;0.000;0.000;a;m
eigentlich kein Freund;-0.400;0.000;0.000;n;m
eigentlich krank;-0.400;0.000;0.000;a;m
eigentlich Meisterleistung;0.938;0.165;0.074;n;
eigentlich nicht mehr besser;1.000;0.000;0.000;a;
eigentlich nicht schlecht;0.173;0.338;0.066;a;
eigentlich nicht so bekannt;0.000;0.000;0.000;a;m
eigentlich Null;-0.958;0.138;0.040;n;
eigentlich nur begeistert;0.938;0.165;0.074;a;
eigentlich nur mal kurz;0.000;0.000;0.000;a;m
eigentlich perfekt;0.679;0.359;0.096;a;
eigentlich Pflichtlektüre;1.000;0.000;0.000;n;
eigentlich Quatsch;-0.400;0.000;0.000;n;m
eigentlich quatsch;-0.400;0.000;0.000;a;m
eigentlich recht schnell erzählt;0.000;0.000;0.000;a;m
eigentlich recht simpel;0.400;0.000;0.000;a;m
eigentlich sämtlich;0.000;0.000;0.000;a;m
eigentlich schade;-0.367;0.562;0.145;a;
eigentlich Schönheit;0.562;0.165;0.074;n;
eigentlich sehr gut;0.350;0.391;0.087;a;
eigentlich sehr kritisch;-0.400;0.000;0.000;a;m
eigentlich sehr skeptisch;-0.400;0.000;0.000;a;m
eigentlich Sensation;0.906;0.195;0.056;n;
eigentlich skeptisch;-0.400;0.000;0.000;a;m
eigentlich sogar besser;0.906;0.195;0.069;a;
eigentlich sogar noch besser;1.000;0.000;0.000;a;
eigentlich super;0.333;0.400;0.082;a;
eigentlich toll;0.400;0.000;0.000;a;m
eigentlich trocken;0.000;0.000;0.000;a;m
eigentlich unbeschreiblich;1.000;0.000;0.000;a;
eigentlich viel Potential;0.062;0.165;0.074;n;
eigentlich viel zu schade;1.000;0.000;0.000;a;
eigentlich Wunder;1.000;0.000;0.000;n;
eigentlich Zeitverschwendung;-0.938;0.165;0.074;n;
eigentlich zufrieden;0.409;0.287;0.087;a;
eigentümlich Charme;0.958;0.138;0.056;n;
eigenwillig;-0.400;0.000;0.000;a;m
ein einfach ans Herz;0.958;0.138;0.056;n;
ein schon Angst;0.000;0.000;0.000;n;m
ein so ans Herz;1.000;0.000;0.000;n;
ein sofort ans Herz;0.988;0.076;0.012;n;
ein toll;0.906;0.195;0.069;a;
ein top;0.973;0.113;0.043;a;
eindeutig;0.000;0.000;0.000;a;m
eindeutig besser;0.225;0.622;0.139;a;
eindeutig besten;0.965;0.128;0.023;a;
eindeutig gelohnt;0.973;0.113;0.025;a;
eindeutig groß;0.973;0.113;0.043;a;
eindeutig Kaufempfehlung;0.952;0.147;0.008;n;
eindeutig kein Kaufempfehlung;-1.000;0.000;0.000;n;
eindeutig Steigerung;0.906;0.195;0.069;n;
eindeutig Suchtgefahr;0.000;0.000;0.000;n;m
eindeutig süchtig;0.000;0.000;0.000;a;m
eindeutig voll;0.000;0.000;0.000;a;m
eindeutig wert;1.000;0.000;0.000;a;
eindringlich;0.865;0.222;0.043;a;
eindrücklich;0.600;0.374;0.118;a;
eindrucksvoll;0.865;0.251;0.029;a;
eindrucksvoll Action;1.000;0.000;0.000;n;
eindrucksvoll demonstriert;0.562;0.165;0.074;a;
eindrucksvoll deutlich;1.000;0.000;0.000;a;
eindrucksvoll Schlag;0.000;0.000;0.000;n;m
eindrucksvoll widerlegt;0.938;0.165;0.074;a;
einen mächtigsten;1.000;0.000;0.000;a;
einerseits froh;0.400;0.000;0.000;a;m
einfach;0.400;0.000;0.000;a;m
einfach absolut empfehlenswert;0.938;0.165;0.074;a;
einfach absolut genial;1.000;0.000;0.000;a;
einfach absolut klasse;1.000;0.000;0.000;a;
einfach absolut super;1.000;0.000;0.000;a;
einfach absolut unglaublich;0.958;0.138;0.056;a;
einfach anbetungswürdig;0.969;0.174;0.062;a;
einfach angeschlossen;0.400;0.000;0.000;a;m
einfach angesteckt;0.400;0.000;0.000;a;m
einfach ans Herz;0.946;0.168;0.032;n;
einfach ansprechend;0.906;0.195;0.056;a;
einfach ansteckend;1.000;0.000;0.000;a;
einfach atemberaubend;0.980;0.098;0.020;a;
einfach atemberaubend gut;0.958;0.138;0.056;a;
einfach außergewöhnlich;1.000;0.000;0.000;a;
einfach außergewöhnlich gut;1.000;0.000;0.000;a;
einfach ausgezeichnet;1.000;0.000;0.000;a;
einfach authentisch;0.915;0.188;0.025;a;
einfach beeindruckend;0.967;0.124;0.013;a;
einfach begeisternd;1.000;0.000;0.000;a;
einfach begeistert;0.984;0.088;0.016;a;
einfach berauschend;1.000;0.000;0.000;a;
einfach bereit;0.400;0.000;0.000;a;m
einfach berührend;1.000;0.000;0.000;a;
einfach berührt;1.000;0.000;0.000;a;
einfach besser;0.000;0.000;0.000;a;m
einfach besser Erlebnis;1.000;0.000;0.000;n;
einfach bestechend;0.973;0.113;0.043;a;
einfach besten;1.000;0.000;0.000;a;
einfach bewundernswert;1.000;0.000;0.000;a;
einfach bezaubernd;1.000;0.000;0.000;a;
einfach bis schwer;0.000;0.000;0.000;a;m
einfach bombastisch;0.924;0.180;0.017;a;
einfach Bombe;0.998;0.028;0.005;n;
einfach brillant;0.962;0.133;0.037;a;
einfach dankbar;0.973;0.113;0.043;a;
einfach echt;0.400;0.000;0.000;a;m
einfach echt gut;1.000;0.000;0.000;a;
einfach echt klasse;0.938;0.165;0.074;a;
einfach ehrlich;0.906;0.195;0.033;a;
einfach einfach;0.966;0.127;0.024;a;
einfach einfach einfach;0.938;0.165;0.043;a;
einfach einmalig;1.000;0.000;0.000;a;
einfach einmalig gut;0.938;0.165;0.074;a;
einfach einsam;0.000;0.000;0.000;a;m
einfach einwandfrei;0.957;0.172;0.039;a;
einfach einzigartig;0.986;0.081;0.005;a;
einfach empfehlenswert;0.929;0.175;0.033;a;
einfach entspannt;0.952;0.147;0.036;a;
einfach enttäuschend;-0.825;0.238;0.053;a;
einfach episch;0.987;0.080;0.014;a;
einfach erfolgreich;1.000;0.000;0.000;a;
einfach erfrischend;0.926;0.178;0.022;a;
einfach ergreifend;1.000;0.000;0.000;a;
einfach erklärt;0.918;0.186;0.016;a;
einfach erledigt;0.400;0.000;0.000;a;m
einfach ersten;0.000;0.000;0.000;a;m
einfach erstklassig;0.998;0.033;0.004;a;
einfach extrem gut;0.924;0.180;0.060;a;
einfach fabelhaft;1.000;0.000;0.000;a;
einfach famos;1.000;0.000;0.000;a;
einfach fantastisch;0.992;0.088;0.008;a;
einfach faszinierend;0.981;0.094;0.007;a;
einfach fasziniert;1.000;0.000;0.000;a;
einfach fein;0.966;0.125;0.035;a;
einfach fern;0.000;0.000;0.000;a;m
einfach fesselnd;1.000;0.000;0.000;a;
einfach fett;0.000;0.000;0.000;a;m
einfach fetzig;1.000;0.000;0.000;a;
einfach flott;1.000;0.000;0.000;a;
einfach formuliert;0.918;0.185;0.051;a;
einfach Freude;0.993;0.059;0.006;n;
einfach funktionierend;0.938;0.165;0.074;a;
einfach galaktisch;1.000;0.000;0.000;a;
einfach Gänsehaut;1.000;0.000;0.000;n;
einfach gefesselt;0.000;0.000;0.000;a;m
einfach gehört;0.000;0.000;0.000;a;m
einfach geil;0.970;0.155;0.011;a;
einfach gekonnt;0.938;0.165;0.074;a;
einfach gelungen;0.933;0.170;0.044;a;
einfach genau;0.400;0.000;0.000;a;m
einfach genau richtig;0.945;0.156;0.039;a;
einfach genial;0.982;0.107;0.003;a;
einfach genial besetzt;1.000;0.000;0.000;a;
einfach genial erzählt;1.000;0.000;0.000;a;
einfach genial..;1.000;0.000;0.000;a;
einfach genial...;1.000;0.000;0.000;a;
einfach gerne;0.938;0.165;0.052;a;
einfach gespannt;0.400;0.000;0.000;a;m
einfach gewagt;-0.400;0.000;0.000;a;m
einfach gigantisch;1.000;0.000;0.000;a;
einfach gigantisch gut;1.000;0.000;0.000;a;
einfach glaubhaft;1.000;0.000;0.000;a;
einfach glücklich;1.000;0.000;0.000;a;
einfach göttlich;0.980;0.098;0.014;a;
einfach grandios;1.000;0.000;0.000;a;
einfach groß Spaß;0.984;0.087;0.022;n;
einfach großartig;0.988;0.078;0.007;a;
einfach großartig gelungen;1.000;0.000;0.000;a;
einfach großartig umgesetzt;0.938;0.165;0.074;a;
einfach gut;0.928;0.185;0.007;a;
einfach gut durchdacht;1.000;0.000;0.000;a;
einfach gut erzählt;0.938;0.165;0.074;a;
einfach Hammer;0.990;0.071;0.010;n;
einfach heftig;-0.400;0.000;0.000;a;m
einfach herausragend;1.000;0.000;0.000;a;
einfach herrlich;0.978;0.101;0.011;a;
einfach hervorragend;1.000;0.000;0.000;a;
einfach hervorragend gelungen;0.938;0.165;0.074;a;
einfach herzergreifend;1.000;0.000;0.000;a;
einfach herzhaft;0.938;0.165;0.052;a;
einfach herzig;1.000;0.000;0.000;a;
einfach herzlich;1.000;0.000;0.000;a;
einfach herzzerreißend;1.000;0.000;0.000;a;
einfach himmlisch;0.963;0.131;0.025;a;
einfach hinreißend;0.955;0.144;0.043;a;
einfach hörenswert;0.945;0.156;0.039;a;
einfach Humor;0.924;0.180;0.060;n;
einfach ideal;1.000;0.000;0.000;a;
einfach immer besser;0.966;0.125;0.025;a;
einfach immer super;1.000;0.000;0.000;a;
einfach immer wieder Spaß;0.938;0.165;0.052;n;
einfach inspirierend;0.938;0.165;0.074;a;
einfach installier;0.400;0.000;0.000;a;m
einfach intensiv;1.000;0.000;0.000;a;
einfach irre viel Spaß;0.969;0.174;0.062;n;
einfach kein Langeweile;0.993;0.059;0.014;n;
einfach kinderleicht;0.400;0.000;0.000;a;m
einfach klasse;0.977;0.116;0.003;a;
einfach königlich;1.000;0.000;0.000;a;
einfach köstlich;0.910;0.248;0.032;a;
einfach köstlich amüsiert;1.000;0.000;0.000;a;
einfach krass;0.917;0.186;0.034;a;
einfach Kult;0.921;0.203;0.026;n;
einfach kurzweilig;0.938;0.165;0.043;a;
einfach kuschelig;0.986;0.117;0.039;a;
einfach langweilig;-0.806;0.378;0.089;a;
einfach lebendig;0.952;0.147;0.036;a;
einfach Lebensweise;0.938;0.165;0.074;n;
einfach lecker;0.965;0.127;0.019;a;
einfach legendär;1.000;0.000;0.000;a;
einfach lesenswert;0.913;0.190;0.040;a;
einfach liebenswert;0.961;0.133;0.016;a;
einfach Lust;0.946;0.156;0.015;n;
einfach lustig;0.905;0.196;0.043;a;
einfach magisch;0.931;0.172;0.032;a;
einfach makellos;0.958;0.138;0.056;a;
einfach mal so zwischendurch;0.400;0.000;0.000;a;m
einfach meisterhaft;0.976;0.106;0.020;a;
einfach meisterlich;1.000;0.000;0.000;a;
einfach mitreisend;0.958;0.138;0.056;a;
einfach mitreißend;0.973;0.113;0.014;a;
einfach Müll;-0.929;0.175;0.047;n;
einfach nachvollziehbar;0.962;0.133;0.024;a;
einfach nett;0.714;0.311;0.083;a;
einfach nicht alt;0.000;0.000;0.000;a;m
einfach nicht gut;-0.625;0.545;0.157;a;
einfach nicht kaputt;0.973;0.113;0.030;a;
einfach nicht klein;0.400;0.000;0.000;a;m
einfach nicht langweilig;1.000;0.000;0.000;a;
einfach nicht leer;0.400;0.000;0.000;a;m
einfach nicht satt;0.000;0.000;0.000;a;m
einfach nicht still;0.000;0.000;0.000;a;m
einfach nie langweilig;0.999;0.021;0.003;a;
einfach niedlich;0.938;0.165;0.026;a;
einfach noch mehr Spaß;1.000;0.000;0.000;n;
einfach notwendig;0.000;0.000;0.000;a;m
einfach nur absolut genial;1.000;0.000;0.000;a;
einfach nur Action;1.000;0.000;0.000;n;
einfach nur amüsant;1.000;0.000;0.000;a;
einfach nur angenehm;0.938;0.165;0.052;a;
einfach nur ans Herz;1.000;0.000;0.000;n;
einfach nur ärgerlich;-0.833;0.236;0.068;a;
einfach nur atemberaubend;1.000;0.000;0.000;a;
einfach nur atemberaubend gut;0.938;0.165;0.074;a;
einfach nur aufregend;0.973;0.113;0.043;a;
einfach nur authentisch;1.000;0.000;0.000;a;
einfach nur beeindruckend;0.955;0.143;0.027;a;
einfach nur begeistert;1.000;0.000;0.000;a;
