Word,Valence_N,Valence_M,Valence_SD,Arousal_N,Arousal_M,Arousal_SD,Concreteness_N,Concreteness_M,Concreteness_SD,Length,Cluster,,,,,,
Beschränkung,20,2.10,0.97,25,3.84,3.18,29,4.90,2.82,12,2,,,,,,
Beschreibung,28,5.54,1.45,27,2.04,2.24,20,5.05,3.15,12,1,,,,,,
Besen,26,4.58,1.47,28,1.43,2.20,25,8.64,2.61,5,3,,,,,,
Besetzung,20,5.00,2.85,26,3.81,3.35,23,5.09,2.54,9,1,,,,,,
Besitz,34,6.12,1.97,28,4.64,2.67,26,4.50,2.57,6,4,,,,,,
Besonderheit,20,6.75,2.12,32,5.16,2.91,24,3.92,2.89,12,4,,,,,,
Besprechung,24,5.33,1.90,21,4.10,2.76,17,6.00,2.76,11,1,,,,,,
Besserung,31,6.32,2.63,26,3.69,2.99,23,4.74,2.78,9,1,,,,,,
Bestand,31,5.84,1.66,24,2.00,1.96,16,4.56,3.22,7,1,,,,,,
Bestätigung,23,6.87,2.26,21,4.00,2.79,13,4.23,3.37,11,4,,,,,,
Bestattung,33,1.88,2.13,27,5.44,3.23,23,7.83,2.06,10,2,,,,,,
Besteck,36,5.08,1.66,27,1.89,2.41,20,9.65,0.81,7,3,,,,,,
Bestimmung,27,5.33,2.35,23,3.91,2.56,18,3.11,2.52,10,1,,,,,,
Besucher,23,6.04,2.23,26,4.19,2.81,32,7.50,2.18,8,3,,,,,,
Beteiligung,28,6.18,1.59,17,3.41,2.81,29,4.34,2.83,11,1,,,,,,
Betrag,22,5.41,2.24,18,2.78,3.06,17,5.12,3.12,6,1,,,,,,
Betreff,26,4.77,1.56,24,1.50,1.82,21,3.71,3.05,7,1,,,,,,
Betreuung,24,5.25,2.38,19,2.79,2.15,24,4.75,3.22,9,1,,,,,,
Betrieb,20,4.90,2.02,23,2.09,2.07,16,5.56,2.45,7,1,,,,,,
Betrug,21,1.62,2.18,29,5.83,3.39,28,5.46,2.89,6,2,,,,,,
Bett,25,7.72,2.32,20,3.90,2.29,19,9.42,1.30,4,3,,,,,,
Bettler,19,3.37,2.09,24,3.33,2.08,24,8.13,2.13,7,3,,,,,,
Beurteilung,25,5.12,2.09,25,5.40,2.61,17,4.65,2.47,11,4,,,,,,
Beutel,23,5.13,1.22,30,1.67,1.92,23,8.91,1.41,6,3,,,,,,
Bevölkerung,25,5.28,2.09,25,2.36,2.40,19,7.42,2.27,11,3,,,,,,
Bewältigung,28,6.39,2.47,27,4.37,2.17,21,4.14,2.76,11,4,,,,,,
Bewegung,20,7.05,2.35,30,5.23,2.96,24,6.17,3.09,8,4,,,,,,
Beweis,17,6.35,2.64,21,5.38,2.48,16,4.50,2.25,6,4,,,,,,
Bewerber,23,4.96,1.85,25,3.84,2.34,23,6.57,2.98,8,1,,,,,,
Bewertung,28,4.21,1.91,16,5.25,3.13,20,2.95,2.33,9,1,,,,,,
Bewohner,25,5.96,1.54,24,2.13,2.29,19,6.95,2.12,8,3,,,,,,
Bewunderung,22,7.45,1.84,25,5.68,2.54,17,4.88,3.31,11,4,,,,,,
Bewusstsein,22,6.91,2.71,31,4.45,2.90,22,3.00,2.85,11,4,,,,,,
Beziehung,24,7.29,2.42,25,6.16,3.01,24,5.83,3.02,9,4,,,,,,
Bezug,17,5.47,1.12,17,1.41,1.94,14,4.86,2.93,5,1,,,,,,
Bibliothek,25,7.08,1.66,28,3.29,2.85,33,9.33,1.61,10,3,,,,,,
Biene,33,6.58,2.00,24,4.29,2.97,24,9.50,1.02,5,3,,,,,,
Bier,22,6.32,2.51,24,3.13,2.77,20,8.60,2.72,4,3,,,,,,
Bilanz,27,4.81,1.82,19,3.26,2.23,15,5.07,3.39,6,1,,,,,,
Bild,25,6.96,2.03,26,2.77,2.70,23,8.43,1.47,4,3,,,,,,
Bildschirm,24,5.42,1.10,27,2.00,2.18,28,8.14,3.15,10,3,,,,,,
Bildung,33,7.39,2.00,20,4.80,3.02,25,4.40,2.68,7,4,,,,,,
Bindung,29,6.38,2.29,31,4.29,2.97,11,4.00,2.83,7,1,,,,,,
Biographie,35,5.66,2.27,23,2.57,2.43,20,6.55,2.86,10,3,,,,,,
Birke,30,6.73,2.13,23,1.35,1.64,27,9.59,0.75,5,3,,,,,,
Birne,26,6.15,1.87,28,2.46,2.60,17,8.82,2.72,5,3,,,,,,
Bischof,24,3.83,2.55,24,1.71,2.40,26,8.46,2.40,7,3,,,,,,
Blase,26,4.46,2.21,26,3.88,3.28,14,7.29,2.49,5,3,,,,,,
Blatt,25,6.16,2.23,27,1.41,1.47,18,7.28,3.54,5,3,,,,,,
Blech,25,4.00,1.41,25,1.08,1.41,24,8.21,2.45,5,3,,,,,,
Blei,33,3.91,2.02,17,1.53,1.77,22,7.73,3.03,4,3,,,,,,
Bleistift,25,6.36,1.80,26,1.50,2.47,26,8.73,3.24,9,3,,,,,,
Blick,27,5.81,1.98,30,4.73,2.72,20,6.25,2.95,5,4,,,,,,
Blitz,21,3.95,2.36,33,6.36,2.55,21,8.48,2.46,5,2,,,,,,
Block,22,4.41,1.92,23,1.61,1.99,10,7.70,2.75,5,3,,,,,,
Blockade,27,2.11,1.45,28,4.43,2.64,24,6.08,2.47,8,2,,,,,,
Blume,25,7.36,2.51,23,2.91,2.52,24,8.08,3.43,5,3,,,,,,
Blumenstrauß,34,7.38,2.32,27,4.96,2.62,21,8.67,2.99,12,4,,,,,,
Bluse,18,5.50,2.31,30,2.77,2.43,28,9.00,2.39,5,3,,,,,,
Blut,28,4.18,2.40,19,6.42,2.36,21,9.19,2.23,4,2,,,,,,
Blüte,18,8.89,0.96,26,4.31,2.53,18,8.67,1.94,5,4,,,,,,
Boden,24,5.46,2.41,28,1.64,1.83,24,8.33,1.93,5,3,,,,,,
Bogen,29,5.38,1.45,20,3.35,2.30,22,7.27,2.80,5,3,,,,,,
Bohne,21,5.05,1.96,23,1.13,1.06,21,9.10,1.34,5,3,,,,,,
Bohrer,18,3.78,2.07,23,4.48,3.25,20,8.00,3.32,6,2,,,,,,
Bolzen,15,4.47,2.29,20,1.70,2.23,20,7.80,2.44,6,3,,,,,,
Bombe,26,1.19,1.52,27,7.81,2.65,22,8.18,1.84,5,2,,,,,,
Bonbon,26,7.81,1.41,21,3.29,2.49,20,8.65,2.87,6,3,,,,,,
Bonus,22,8.18,1.71,20,5.10,2.73,24,4.92,3.41,5,4,,,,,,
Boot,34,6.00,1.76,30,3.77,2.78,29,9.24,1.94,4,3,,,,,,
Börse,22,3.64,2.65,38,3.92,3.27,15,6.53,2.17,5,2,,,,,,
Boss,27,4.00,1.80,22,4.95,2.59,17,7.41,2.35,4,2,,,,,,
Bote,21,5.90,1.79,28,2.39,2.41,23,7.96,1.99,4,3,,,,,,
Brand,25,1.88,2.39,33,6.42,2.63,22,8.50,2.04,5,2,,,,,,
Brauch,33,6.03,1.85,17,2.41,2.15,25,4.92,3.15,6,1,,,,,,
Brett,35,5.09,2.20,24,1.71,2.48,27,8.93,1.66,5,3,,,,,,
Brezel,25,6.36,2.41,22,2.64,2.82,19,9.00,2.40,6,3,,,,,,
Brief,21,5.52,1.36,25,3.92,2.89,28,9.36,1.47,5,3,,,,,,
Brille,25,4.64,1.96,27,1.59,2.19,17,9.35,1.17,6,3,,,,,,
Bronze,26,5.81,1.96,21,1.67,1.68,26,6.96,2.52,6,3,,,,,,
Brot,19,6.84,2.22,32,2.41,2.61,25,9.36,1.47,4,3,,,,,,
Brötchen,23,7.17,2.12,30,2.57,2.40,23,9.35,2.14,8,3,,,,,,
Bruch,26,4.12,2.60,32,5.06,2.38,18,6.33,2.61,5,2,,,,,,
Brücke,31,6.65,1.64,21,3.24,2.66,21,9.62,1.07,6,3,,,,,,
Bruder,25,8.16,1.60,28,3.32,2.74,25,8.52,2.74,6,3,,,,,,
Brunnen,23,6.52,1.95,20,2.35,2.30,21,8.95,2.18,7,3,,,,,,
Brust,23,6.61,1.97,24,5.75,2.27,17,8.59,2.00,5,4,,,,,,
Brut,33,3.64,2.13,25,3.52,2.29,15,6.33,3.02,4,1,,,,,,
Brutalität,24,1.96,3.36,28,7.82,2.06,28,5.04,2.67,10,2,,,,,,
Buch,29,8.45,1.68,26,4.12,2.64,18,9.72,0.57,4,3,,,,,,
Bücherei,23,7.87,1.91,23,3.48,2.29,28,8.36,2.54,8,3,,,,,,
Büchse,32,3.94,1.92,20,2.30,2.92,22,7.05,3.79,6,3,,,,,,
Buchstabe,24,5.42,2.54,21,1.05,1.56,20,9.05,1.54,9,3,,,,,,
Buchung,15,4.80,1.70,22,3.23,3.21,26,5.73,2.55,7,1,,,,,,
Buckel,32,2.72,1.73,27,2.44,2.03,18,8.67,1.81,6,3,,,,,,
Bude,24,5.00,2.19,29,2.24,2.21,17,6.29,2.34,4,1,,,,,,
Bügel,25,4.40,1.12,25,1.96,2.79,17,8.00,2.40,5,3,,,,,,
Bügeleisen,25,5.40,2.02,23,2.17,2.23,29,9.48,1.98,10,3,,,,,,
Bund,24,5.46,2.04,18,2.61,2.28,17,5.82,3.34,4,1,,,,,,
Bündnis,29,5.93,2.05,15,3.40,1.88,21,4.71,2.28,7,1,,,,,,
Burg,27,6.15,2.20,31,3.39,3.13,19,7.95,3.46,4,3,,,,,,
Büro,27,5.19,1.88,22,2.82,2.48,28,8.25,2.15,4,3,,,,,,
Bürste,29,5.45,1.27,24,2.29,2.03,17,9.00,1.54,6,3,,,,,,
Bus,29,4.90,1.59,31,2.26,2.00,15,9.27,2.09,3,3,,,,,,
Busch,15,5.13,1.46,23,2.87,3.15,14,8.36,2.13,5,3,,,,,,
Busen,19,6.74,1.97,18,4.28,3.18,19,9.05,1.35,5,3,,,,,,
Büstenhalter,24,7.13,1.87,17,4.00,2.89,22,8.45,2.63,12,3,,,,,,
Butter,32,5.69,2.22,31,1.94,2.32,30,9.83,0.59,6,3,,,,,,
Butterbrot,27,6.22,2.06,23,1.61,1.88,21,8.19,3.43,10,3,,,,,,
Chance,23,7.30,2.24,30,6.03,2.83,26,4.31,3.22,6,4,,,,,,
Chaos,21,3.33,2.15,22,7.14,2.32,18,6.39,3.24,5,2,,,,,,
Charakter,26,7.23,1.97,19,5.26,2.94,24,4.08,2.57,9,4,,,,,,
Charme,26,7.62,2.23,22,5.41,2.34,26,4.58,2.97,6,4,,,,,,
Chef,33,5.09,2.18,14,5.29,3.12,21,8.24,2.36,4,3,,,,,,
Christ,17,5.24,2.97,19,3.05,2.30,22,6.36,2.85,6,1,,,,,,
Club,26,5.88,2.23,27,4.19,2.84,25,7.44,2.43,4,3,,,,,,
Coitus,19,5.63,3.35,26,7.62,2.55,18,6.33,3.18,6,4,,,,,,
Computer,31,6.48,2.63,35,3.60,2.60,16,8.00,2.99,8,3,,,,,,
Container,20,3.65,1.73,22,1.95,2.13,16,8.69,2.50,9,3,,,,,,
Creme,33,6.61,2.45,27,1.89,2.36,19,9.05,1.90,5,3,,,,,,
Dach,26,5.54,2.14,21,2.00,1.67,27,9.00,2.08,4,3,,,,,,
Dame,26,7.04,2.20,24,3.29,2.53,13,7.62,2.29,4,3,,,,,,
Damm,21,5.33,1.43,21,2.29,2.61,19,8.11,3.18,4,3,,,,,,
Dämmerung,32,6.06,2.56,22,4.09,2.51,25,7.12,2.05,9,4,,,,,,
Dampf,28,5.54,1.37,18,2.78,3.02,21,9.33,0.91,5,3,,,,,,
Dampfer,24,4.83,2.06,16,2.81,2.51,31,8.45,3.01,7,3,,,,,,
Darbietung,17,5.94,2.41,23,3.78,2.66,21,6.19,2.64,10,1,,,,,,
Darm,22,3.45,2.20,26,2.31,2.29,25,8.76,1.64,4,3,,,,,,
Darstellung,22,5.23,1.31,28,2.32,2.34,21,4.19,2.54,11,1,,,,,,
Datei,28,4.89,1.77,14,3.50,3.32,21,7.38,2.46,5,3,,,,,,
Datum,27,5.19,1.75,21,1.48,2.02,27,7.70,2.46,5,3,,,,,,
Debatte,23,4.83,2.08,27,5.78,2.22,14,5.43,2.68,7,2,,,,,,
Decke,18,6.61,2.09,20,2.05,2.19,18,8.67,1.61,5,3,,,,,,
Deckung,22,4.68,1.84,22,3.27,2.39,17,3.82,1.85,7,1,,,,,,
Definition,27,6.04,1.45,28,2.79,2.99,23,4.43,3.38,10,1,,,,,,
Defizit,22,2.82,2.77,26,4.38,2.80,25,4.68,3.44,7,2,,,,,,
Dehnung,20,5.20,2.02,25,2.88,2.44,12,5.00,2.63,7,1,,,,,,
Demokratie,26,7.08,2.30,18,3.67,3.07,19,6.16,2.91,10,4,,,,,,
Deponie,25,2.60,2.02,21,4.67,3.06,23,7.00,2.71,7,2,,,,,,
Dessert,23,7.65,2.21,26,2.92,2.51,22,7.09,2.67,7,3,,,,,,
Detail,21,6.19,2.29,17,3.35,2.06,19,2.74,3.00,6,1,,,,,,
Deutung,37,5.73,1.92,24,2.04,1.92,29,2.72,2.45,7,1,,,,,,
Diagnose,22,3.77,1.95,30,6.13,2.50,21,5.62,3.01,8,2,,,,,,
Diakonie,25,4.48,3.12,23,2.48,2.61,21,5.43,2.98,8,1,,,,,,
Dialog,27,6.11,2.26,32,4.06,2.38,30,5.80,2.48,6,4,,,,,,
Diamant,24,7.08,1.74,30,4.97,2.81,18,9.56,0.70,7,3,,,,,,
Dichter,24,6.50,1.84,27,2.85,2.11,23,5.96,3.07,7,1,,,,,,
Dieb,25,1.96,2.19,20,5.90,2.17,20,8.20,1.96,4,2,,,,,,
Diebstahl,24,2.17,1.71,25,6.12,2.37,25,5.88,2.85,9,2,,,,,,
Diener,24,3.71,2.46,32,2.88,2.51,28,8.39,2.08,6,3,,,,,,
Dienst,34,3.91,2.37,22,4.23,2.49,16,5.44,2.00,6,1,,,,,,
Dienstleistung,27,4.85,2.28,36,2.56,2.48,23,4.87,2.69,14,1,,,,,,
Diesel,23,4.96,2.62,28,2.14,2.26,12,8.33,1.72,6,3,,,,,,
Differenz,22,4.32,1.49,22,3.55,3.00,16,4.44,2.94,9,1,,,,,,
Dilemma,27,3.26,2.70,28,6.46,2.57,17,3.47,2.43,7,2,,,,,,
Dimension,25,6.52,1.61,32,3.44,3.12,13,1.77,2.01,9,1,,,,,,
Ding,14,4.79,0.89,25,1.28,1.67,37,3.22,3.28,4,1,,,,,,
Dinner,29,7.48,1.62,22,4.14,2.57,17,7.59,2.83,6,4,,,,,,
Diplom,17,8.18,1.38,27,5.00,2.70,13,5.46,3.48,6,4,,,,,,
Direktion,20,4.20,2.17,34,2.74,2.51,16,4.88,2.92,9,1,,,,,,
Direktor,26,4.58,2.04,35,3.29,2.28,16,6.81,2.66,8,3,,,,,,
Diskussion,21,5.71,1.90,29,6.45,2.49,20,6.55,2.63,10,4,,,,,,
Disput,22,4.14,2.27,32,6.47,2.81,24,6.08,2.72,6,2,,,,,,
Disziplin,28,5.25,2.73,21,3.52,3.08,25,4.72,3.26,9,1,,,,,,
Docht,25,5.64,1.70,27,2.22,2.19,26,9.46,1.07,5,3,,,,,,
Doktor,29,5.83,2.04,27,4.56,2.82,19,7.95,2.34,6,3,,,,,,
Dokument,26,5.69,1.89,14,2.86,2.28,27,7.00,3.27,8,3,,,,,,
Dolch,27,2.74,1.68,30,6.33,2.14,16,9.00,2.16,5,2,,,,,,
Dom,19,6.47,2.12,18,2.61,2.62,28,8.25,2.66,3,3,,,,,,
Donner,32,4.97,2.78,24,5.21,2.52,18,8.78,1.40,6,3,,,,,,
Dorf,29,4.93,2.70,24,2.33,2.06,23,9.30,1.02,4,3,,,,,,
Dorn,23,3.57,1.73,21,4.48,2.58,22,8.82,1.47,4,2,,,,,,
Dose,28,5.04,1.43,17,1.29,1.65,18,8.44,3.26,4,3,,,,,,
Dosenöffner,33,5.39,2.00,16,1.69,1.96,29,8.55,2.69,11,3,,,,,,
Dozent,24,5.71,2.12,24,2.79,2.13,19,7.95,2.57,6,3,,,,,,
Draht,27,4.11,1.83,19,2.42,2.29,20,7.75,3.11,5,3,,,,,,
Drama,31,4.19,2.20,27,6.00,2.92,23,6.30,2.38,5,2,,,,,,
Dramatik,35,4.89,2.53,28,6.29,2.54,15,5.00,2.48,8,2,,,,,,
Dreck,29,3.41,2.35,26,3.50,2.52,15,6.80,3.49,5,2,,,,,,
Dressur,24,3.50,1.64,32,3.00,2.16,22,5.86,3.54,7,1,,,,,,
Droge,25,2.92,2.74,24,4.71,2.97,27,6.93,2.23,5,2,,,,,,
Drohung,24,2.00,2.69,25,7.44,2.06,22,6.45,2.65,7,2,,,,,,
Drosselung,23,3.30,1.43,28,2.50,2.90,14,3.86,2.63,10,1,,,,,,
Druck,27,2.59,2.12,20,6.20,2.89,19,6.47,3.06,5,2,,,,,,
Duft,26,7.96,1.84,22,5.50,2.69,24,5.92,3.16,4,4,,,,,,
Dummheit,28,3.07,2.02,18,3.39,2.91,18,4.50,3.19,8,1,,,,,,
Dunkelheit,31,3.97,2.40,29,5.83,2.69,24,7.63,2.76,10,2,,,,,,
Durchgang,21,5.38,1.28,21,1.67,1.68,22,7.18,2.79,9,3,,,,,,
Durchsetzung,24,5.50,2.02,15,5.60,1.92,23,4.26,2.97,12,4,,,,,,
Dusche,27,8.04,1.58,20,3.95,2.76,17,9.82,0.39,6,3,,,,,,
Düse,32,4.75,1.83,25,3.12,2.73,12,6.83,2.62,4,3,,,,,,
Dynamik,28,6.64,2.25,25,5.68,2.14,28,4.07,3.03,7,4,,,,,,
Ebbe,30,4.83,1.72,23,2.78,2.47,22,7.55,2.46,4,3,,,,,,
Ebene,24,5.79,1.79,17,1.18,1.29,19,6.74,2.90,5,3,,,,,,
Echtheit,16,6.81,2.43,24,4.58,2.75,26,4.58,2.79,8,4,,,,,,
Ecke,30,4.80,1.30,24,1.83,2.46,22,7.86,2.75,4,3,,,,,,
Effekt,19,5.16,2.43,24,4.42,2.54,18,4.39,3.22,6,1,,,,,,
Ehe,27,7.70,1.92,22,4.77,2.60,35,6.60,2.97,3,4,,,,,,
Ehre,27,7.04,2.34,27,6.07,2.16,21,4.52,3.09,4,4,,,,,,
Ehrfurcht,34,5.00,2.13,30,4.83,2.78,23,3.74,2.83,9,1,,,,,,
Ehrlichkeit,25,7.96,2.34,17,4.76,2.46,21,3.81,3.57,11,4,,,,,,
Ehrung,22,7.18,2.50,31,5.81,2.39,30,5.50,2.30,6,4,,,,,,
Ei,29,5.83,1.54,29,1.62,2.23,22,9.45,1.01,2,3,,,,,,
Eiche,34,6.47,1.94,22,1.95,2.24,17,8.94,2.61,5,3,,,,,,
Eifersucht,28,2.00,1.61,26,6.38,2.59,27,4.93,3.16,10,2,,,,,,
Eigenschaft,32,5.66,1.54,27,2.59,1.99,21,2.90,2.96,11,1,,,,,,
Eigentum,30,6.53,2.52,26,4.08,2.28,22,6.91,2.16,8,4,,,,,,
Eignung,28,5.46,2.66,28,3.21,2.74,28,3.54,2.87,7,1,,,,,,
Eimer,19,4.89,1.82,23,1.04,1.33,18,8.28,3.34,5,3,,,,,,
Einbildung,30,3.97,2.61,25,3.96,2.81,24,5.08,2.99,10,1,,,,,,
Einbruch,30,1.87,2.22,21,6.90,2.41,24,7.33,1.46,8,2,,,,,,
Eindruck,29,6.48,1.86,16,4.69,2.63,25,4.48,3.31,8,4,,,,,,
Einfall,25,7.84,2.30,28,4.64,3.13,18,4.33,2.70,7,4,,,,,,
Einfluss,24,5.38,1.95,26,4.85,1.95,24,4.33,2.39,8,1,,,,,,
Einführung,21,5.67,2.18,29,2.90,2.35,21,3.52,2.46,10,1,,,,,,
Eingabe,34,4.94,1.92,27,1.26,1.79,16,4.50,2.45,7,1,,,,,,
Eingebung,23,6.52,2.86,23,4.87,2.55,27,2.59,2.04,9,4,,,,,,
Eingeständnis,30,4.97,2.20,33,5.06,2.76,12,3.33,3.73,13,1,,,,,,
Einheit,26,5.81,2.19,25,2.88,2.96,21,5.38,2.91,7,1,,,,,,
Einigkeit,29,8.28,1.33,20,4.20,3.02,17,3.88,2.71,9,4,,,,,,
Einigung,27,7.07,2.22,26,3.85,2.63,30,4.77,2.87,8,4,,,,,,
Einkauf,26,5.88,1.70,16,3.75,2.84,14,6.43,2.62,7,1,,,,,,
Einkommen,20,6.55,1.67,32,4.97,2.88,21,6.57,2.66,9,4,,,,,,
Einlauf,19,1.89,2.87,20,4.15,3.03,15,5.87,2.33,7,2,,,,,,
Einnahme,23,5.70,2.67,24,3.46,2.26,21,6.10,3.25,8,1,,,,,,
Einrichtung,33,5.24,1.95,31,2.06,2.39,22,5.68,2.71,11,1,,,,,,
Einsamkeit,33,1.94,2.14,26,5.73,2.95,24,5.21,3.23,10,2,,,,,,
Einsatz,26,6.04,2.29,25,4.44,3.23,22,4.64,2.48,7,4,,,,,,
Einschätzung,26,5.31,1.74,26,3.46,2.18,23,3.96,3.47,12,1,,,,,,
Einschlag,24,3.08,1.67,19,5.79,2.86,21,6.81,2.16,9,2,,,,,,
Einschränkung,24,3.00,1.62,23,5.13,2.90,22,4.50,2.97,13,2,,,,,,
Einsicht,18,6.89,1.57,22,4.45,2.48,21,4.05,3.12,8,4,,,,,,
Einsparung,18,4.61,2.52,29,3.62,2.91,24,4.96,3.22,10,1,,,,,,
Einstimmung,30,6.27,1.26,20,3.15,2.08,25,3.20,2.58,11,1,,,,,,
Einteilung,18,4.39,1.38,28,2.50,2.47,22,4.18,3.13,10,1,,,,,,
Eintracht,31,6.06,2.54,28,2.79,2.54,20,3.35,2.64,9,1,,,,,,
Eintrag,24,4.42,1.86,24,4.42,3.19,15,5.67,3.60,7,1,,,,,,
Einwand,25,5.04,2.09,35,4.09,2.43,23,5.30,3.67,7,1,,,,,,
Einwirkung,28,4.36,1.22,23,3.78,2.68,20,3.35,2.66,10,1,,,,,,
Einzelfall,21,3.48,1.47,24,2.83,2.71,20,5.10,3.45,10,1,,,,,,
Einzelheit,36,5.11,1.85,33,2.91,2.38,27,2.93,3.16,10,1,,,,,,
Einzug,24,5.67,2.39,24,3.88,3.04,19,5.26,3.05,6,1,,,,,,
Eis,25,6.76,2.26,27,4.07,2.70,18,8.61,2.75,3,3,,,,,,
Eisen,23,5.09,1.81,18,2.50,2.46,23,8.39,1.80,5,3,,,,,,
Eisenbahn,22,5.91,2.24,23,3.65,2.52,24,8.75,2.59,9,3,,,,,,
Eiweiß,25,5.72,2.23,23,1.30,2.46,20,7.40,2.82,6,3,,,,,,
Elan,26,7.15,2.11,26,5.46,2.61,22,5.55,3.20,4,4,,,,,,
Elch,22,6.05,2.06,28,2.25,2.15,23,8.87,2.85,4,3,,,,,,
Elefant,26,6.92,2.12,28,2.54,2.46,23,8.74,2.68,7,3,,,,,,
Elektronik,14,5.14,2.11,25,3.00,2.66,17,6.18,2.88,10,1,,,,,,
Element,20,6.85,2.18,24,2.33,2.24,25,5.20,2.74,7,1,,,,,,
Elend,24,1.46,2.13,20,6.25,2.63,15,5.53,3.36,5,2,,,,,,
Elite,23,5.65,2.46,22,5.05,2.21,21,4.86,3.17,5,4,,,,,,
Ellbogen,34,4.79,1.97,27,2.48,2.56,12,9.67,0.65,8,3,,,,,,
Emanzipation,22,6.59,2.11,23,5.39,2.48,21,4.00,3.29,12,4,,,,,,
Emotion,30,7.27,1.46,23,6.61,3.06,21,5.19,2.80,7,4,,,,,,
Empfänger,23,5.78,1.59,25,2.96,2.28,24,4.83,2.99,9,1,,,,,,
Empfehlung,24,7.46,2.02,27,3.48,1.93,31,4.81,3.15,10,4,,,,,,
Empfindung,18,7.33,1.68,34,5.97,3.14,23,4.48,2.94,10,4,,,,,,
Endlichkeit,21,4.29,2.17,29,4.38,3.34,16,4.00,3.14,11,1,,,,,,
Endung,18,4.83,1.76,25,1.40,2.50,25,4.40,2.86,6,1,,,,,,
Energie,34,7.59,2.05,29,6.90,2.38,19,4.21,3.34,7,4,,,,,,
Engel,39,7.03,2.80,27,3.67,2.86,19,8.37,1.98,5,3,,,,,,
Engstirnigkeit,24,1.92,2.19,21,3.71,3.23,28,4.68,2.65,14,2,,,,,,
Ente,24,6.13,1.90,28,1.93,1.88,22,8.82,2.40,4,3,,,,,,
Enteignung,32,1.91,3.10,16,6.00,3.39,17,5.53,3.22,10,2,,,,,,
Entfaltung,27,8.15,2.03,20,4.85,2.64,16,4.69,3.40,10,4,,,,,,
Entfremdung,25,1.80,1.19,20,5.60,2.48,16,3.06,2.02,11,2,,,,,,
Entführung,20,2.75,2.07,27,7.07,2.56,24,6.88,2.80,10,2,,,,,,
Enthüllung,35,5.71,1.71,26,6.00,2.33,28,3.46,2.35,10,4,,,,,,
Entlarvung,28,3.43,2.46,33,6.27,2.71,20,4.95,2.89,10,2,,,,,,
Entlassung,24,2.92,3.13,22,6.23,3.38,29,5.62,3.18,10,2,,,,,,
Entlastung,24,7.17,1.81,30,3.03,3.13,36,3.83,2.76,10,1,,,,,,
Entschädigung,25,5.64,2.55,20,4.25,2.67,24,5.04,2.48,13,1,,,,,,
Entschärfung,23,5.30,2.48,27,5.07,2.95,11,4.18,2.96,12,1,,,,,,
Entscheidung,23,5.13,1.98,19,5.32,3.30,21,4.90,3.63,12,4,,,,,,
Entschlossenheit,28,7.96,1.71,24,4.67,2.66,24,5.17,3.24,16,4,,,,,,
Entschluss,28,6.93,1.98,26,4.50,2.64,24,4.83,3.13,10,4,,,,,,
Entschuldigung,26,6.73,1.73,26,5.00,2.84,19,5.16,3.04,14,4,,,,,,
Entspannung,20,8.90,2.17,28,3.04,3.32,29,4.83,3.09,11,4,,,,,,
Entstehung,29,6.03,1.94,23,3.70,2.30,26,4.58,2.98,10,1,,,,,,
Enttäuschung,32,1.75,1.93,25,7.00,2.55,28,4.89,2.75,12,2,,,,,,
Entwertung,24,3.96,2.80,23,3.26,2.72,24,4.50,2.70,10,1,,,,,,
Entwicklung,29,7.45,1.40,31,3.90,2.44,21,4.29,3.13,11,4,,,,,,
Entwurf,31,5.90,1.70,25,2.68,2.15,28,6.29,3.03,7,1,,,,,,
Entzug,23,2.17,2.17,16,5.69,2.94,16,5.56,2.37,6,2,,,,,,
Episode,30,5.90,1.24,24,3.04,3.04,26,5.35,3.14,7,1,,,,,,
Epoche,19,5.84,1.98,31,2.61,2.32,22,5.41,3.19,6,1,,,,,,
Erdball,23,6.17,1.80,25,3.60,2.68,12,8.83,2.44,7,3,,,,,,
Erdbeere,26,7.65,2.48,23,4.43,2.71,21,9.67,1.53,8,3,,,,,,
Erde,25,7.12,2.13,17,2.76,2.73,23,8.57,2.23,4,3,,,,,,
Erdgeschoss,31,4.45,2.31,34,0.97,1.34,25,7.92,3.28,11,3,,,,,,
Ereignis,27,6.19,1.92,27,6.33,2.66,22,4.68,3.11,8,4,,,,,,
Erfahrung,24,7.42,2.48,26,4.77,2.75,33,4.03,3.14,9,4,,,,,,
Erfassung,28,4.57,1.97,29,3.07,2.40,19,4.32,2.91,9,1,,,,,,
Erfindung,24,7.29,2.07,18,5.00,2.52,31,5.74,2.98,9,4,,,,,,
Erfordernis,28,4.18,1.81,23,3.83,2.77,28,3.82,2.89,11,1,,,,,,
Erforschung,24,7.21,1.38,16,4.88,2.42,26,5.65,2.91,11,4,,,,,,
Erfüllung,20,7.55,2.70,23,5.70,2.65,27,3.96,2.75,9,4,,,,,,
Ergänzung,32,5.47,2.41,36,2.11,2.11,23,4.78,3.32,9,1,,,,,,
Ergebnis,24,6.46,1.74,24,4.67,2.32,25,6.60,2.57,8,4,,,,,,
Ergreifung,24,3.88,2.23,32,5.78,2.50,24,4.33,2.82,10,2,,,,,,
Erhalt,23,6.13,1.91,30,2.47,2.22,24,3.42,3.32,6,1,,,,,,
Erhebung,23,4.43,1.41,21,3.00,2.51,18,4.72,3.04,8,1,,,,,,
Erhöhung,26,5.50,2.67,24,3.75,2.52,16,5.13,3.05,8,1,,,,,,
